domain,mcp_server_url,auth
finout.io,https://mcp.finout.io/mcp,oauth
fintoc.com,https://mcp.fintoc.com/mcp,oauth
finxact.io,https://mcp.finxact.io/mcp,oauth
fireblocks.io,https://mcp.fireblocks.io/mcp,oauth
fireflies.ai,https://mcp.fireflies.ai/mcp,oauth
firstlook.gg,https://mcp.firstlook.gg/mcp,oauth
firstpromoter.com,https://mcp.firstpromoter.com/mcp,oauth
flashbots.net,https://mcp.flashbots.net/mcp,oauth
flexmls.com,https://mcp.flexmls.com/mcp,oauth
flightqueue.com,https://mcp.flightqueue.com/mcp,oauth
flip-chart.ru,https://mcp.flip-chart.ru/mcp,oauth
flipsnack.com,https://mcp.flipsnack.com/mcp,oauth
flixcheck.com,https://mcp.flixcheck.com/mcp,oauth
float.com,https://mcp.float.com/mcp,oauth
flodesk.com,https://mcp.flodesk.com/mcp,oauth
flora.ai,https://mcp.flora.ai/mcp,oauth
flowcode.com,https://mcp.flowcode.com/mcp,oauth
flypgs.com,https://mcp.flypgs.com/mcp,oauth
flywheel-publishing.com,https://mcp.flywheel-publishing.com/mcp,oauth
formacion.ninja,https://mcp.formacion.ninja/mcp,oauth
formester.com,https://mcp.formester.com/mcp,oauth
forter.com,https://mcp.forter.com/mcp,oauth
fpjs.io,https://mcp.fpjs.io/mcp,oauth
frame.io,https://mcp.frame.io/mcp,oauth
freee.co.jp,https://mcp.freee.co.jp/mcp,oauth
freelo.io,https://mcp.freelo.io/mcp,oauth
freshcmdb.com,https://mcp.freshcmdb.com/mcp,oauth
freshdesk.com,https://mcp.freshdesk.com/mcp,oauth
freshservice.com,https://mcp.freshservice.com/mcp,oauth
frontapp.com,https://mcp.frontapp.com/mcp,oauth
fullenrich.com,https://mcp.fullenrich.com/mcp,oauth
fusedeck.net,https://mcp.fusedeck.net/mcp,oauth
futuresearch.ai,https://mcp.futuresearch.ai/mcp,oauth
fxinside.net,https://mcp.fxinside.net/mcp,oauth
fyxer.com,https://mcp.fyxer.com/mcp,oauth
g2.com,https://mcp.g2.com/mcp,oauth
galgalim.co.il,https://mcp.galgalim.co.il/mcp,oauth
gameball.co,https://mcp.gameball.co/mcp,oauth
gamma.app,https://mcp.gamma.app/mcp,oauth
gatsby.events,https://mcp.gatsby.events/mcp,oauth
gcaa.gov.ae,https://mcp.gcaa.gov.ae/mcp,oauth
geekbot.com,https://mcp.geekbot.com/mcp,oauth
genialcare.com.br,https://mcp.genialcare.com.br/mcp,oauth
genially.com,https://mcp.genially.com/mcp,oauth
geocapture.net,https://mcp.geocapture.net/mcp,oauth
geocod.io,https://mcp.geocod.io/mcp,oauth
geopoll.com,https://mcp.geopoll.com/mcp,oauth
getmagical.io,https://mcp.getmagical.io/mcp,oauth
getmontecarlo.com,https://mcp.getmontecarlo.com/mcp,oauth
getredo.com,https://mcp.getredo.com/mcp,oauth
getsales.io,https://mcp.getsales.io/mcp,oauth
getseam.ai,https://mcp.getseam.ai/mcp,oauth
gettransfer.com,https://mcp.gettransfer.com/mcp,oauth
glade.ai,https://mcp.glade.ai/mcp,oauth
gleap.io,https://mcp.gleap.io/mcp,oauth
glideapps.com,https://mcp.glideapps.com/mcp,oauth
globaldata.com,https://mcp.globaldata.com/mcp,oauth
globaldatabase.com,https://mcp.globaldatabase.com/mcp,oauth
globaltradealert.org,https://mcp.globaltradealert.org/mcp,oauth
gmx.net,https://mcp.gmx.net/mcp,oauth
go1.com,https://mcp.go1.com/mcp,oauth
gocanopy.io,https://mcp.gocanopy.io/mcp,oauth
gocardless-staging.io,https://mcp.gocardless-staging.io/mcp,oauth
gocardless.com,https://mcp.gocardless.com/mcp,oauth
goconsensus.com,https://mcp.goconsensus.com/mcp,oauth
godquotes.com,https://mcp.godquotes.com/mcp,oauth
goentri.com,https://mcp.goentri.com/mcp,oauth
goflink.com,https://mcp.goflink.com/mcp,oauth
gong.io,https://mcp.gong.io/mcp,oauth
gorgias.com,https://mcp.gorgias.com/mcp,oauth
gosearch.ai,https://mcp.gosearch.ai/mcp,oauth
gotab.io,https://mcp.gotab.io/mcp,oauth
gothru.co,https://mcp.gothru.co/mcp,oauth
goveda.com,https://mcp.goveda.com/mcp,oauth
gpkcloud.com.au,https://mcp.gpkcloud.com.au/mcp,oauth
gracehill.com,https://mcp.gracehill.com/mcp,oauth
gracehillvision.com,https://mcp.gracehillvision.com/mcp,oauth
grafana.com,https://mcp.grafana.com/mcp,oauth
granola.ai,https://mcp.granola.ai/mcp,oauth
green-api.com,https://mcp.green-api.com/mcp,oauth
grove.co,https://mcp.grove.co/mcp,oauth
growhouse.co,https://mcp.growhouse.co/mcp,oauth
gtlaw.com.au,https://mcp.gtlaw.com.au/mcp,oauth
guppy.cloud,https://mcp.guppy.cloud/mcp,oauth
gurkerl.at,https://mcp.gurkerl.at/mcp,oauth
habitify.me,https://mcp.habitify.me/mcp,oauth
hackle.io,https://mcp.hackle.io/mcp,oauth
hadrian.io,https://mcp.hadrian.io/mcp,oauth
haileyhr.app,https://mcp.haileyhr.app/mcp,oauth
haloai.co.id,https://mcp.haloai.co.id/mcp,oauth
handelsblatt.com,https://mcp.handelsblatt.com/mcp,oauth
handy.la,https://mcp.handy.la/mcp,oauth
happycog.com,https://mcp.happycog.com/mcp,oauth
haravan.app,https://mcp.haravan.app/mcp,oauth
healthydirections.com,https://mcp.healthydirections.com/mcp,oauth
heatmapcore.com,https://mcp.heatmapcore.com/mcp,oauth
heavybit.com,https://mcp.heavybit.com/mcp,oauth
hebatec.de,https://mcp.hebatec.de/mcp,oauth
helium10.com,https://mcp.helium10.com/mcp,oauth
hellobonsai.com,https://mcp.hellobonsai.com/mcp,oauth
helpmonks.com,https://mcp.helpmonks.com/mcp,oauth
heroku.com,https://mcp.heroku.com/mcp,oauth
heyflow.com,https://mcp.heyflow.com/mcp,oauth
heymantle.com,https://mcp.heymantle.com/mcp,oauth
heymarvin.com,https://mcp.heymarvin.com/mcp,oauth
higgsfield.ai,https://mcp.higgsfield.ai/mcp,oauth
highspot.com,https://mcp.highspot.com/mcp,oauth
hireez.com,https://mcp.hireez.com/mcp,oauth
hiring.cafe,https://mcp.hiring.cafe/mcp,oauth
hiveinteractive.net,https://mcp.hiveinteractive.net/mcp,oauth
honeycomb.io,https://mcp.honeycomb.io/mcp,oauth
horizzon.cloud,https://mcp.horizzon.cloud/mcp,oauth
hospitable.com,https://mcp.hospitable.com/mcp,oauth
hostex.io,https://mcp.hostex.io/mcp,oauth
hostingb2b.com,https://mcp.hostingb2b.com/mcp,oauth
hri-research.org,https://mcp.hri-research.org/mcp,oauth
hubstaff.com,https://mcp.hubstaff.com/mcp,oauth
humaans.io,https://mcp.humaans.io/mcp,oauth
humanizeaitext.ai,https://mcp.humanizeaitext.ai/mcp,oauth
humuson.com,https://mcp.humuson.com/mcp,oauth
iansresearch.com,https://mcp.iansresearch.com/mcp,oauth
icepanel.io,https://mcp.icepanel.io/mcp,oauth
icisete.fr,https://mcp.icisete.fr/mcp,oauth
icmarkets.com,https://mcp.icmarkets.com/mcp,oauth
idc.com,https://mcp.idc.com/mcp,oauth
idealo.com,https://mcp.idealo.com/mcp,oauth
ideogram.ai,https://mcp.ideogram.ai/mcp,oauth
ignitionapp.com,https://mcp.ignitionapp.com/mcp,oauth
ihamkor.uz,https://mcp.ihamkor.uz/mcp,oauth
imagine.art,https://mcp.imagine.art/mcp,oauth
imart.ge,https://mcp.imart.ge/mcp,oauth
imedidata.com,https://mcp.imedidata.com/mcp,oauth
impact.com,https://mcp.impact.com/mcp,oauth
in-ascanner.com,https://mcp.in-ascanner.com/mcp,oauth
incident.io,https://mcp.incident.io/mcp,oauth
indicaonline.com,https://mcp.indicaonline.com/mcp,oauth
indmoney.com,https://mcp.indmoney.com/mcp,oauth
infakt.pl,https://mcp.infakt.pl/mcp,oauth
inference.net,https://mcp.inference.net/mcp,oauth
infillion.com,https://mcp.infillion.com/mcp,oauth
influx.com,https://mcp.influx.com/mcp,oauth
infosis.tech,https://mcp.infosis.tech/mcp,oauth
infovizion.ru,https://mcp.infovizion.ru/mcp,oauth
insiderscore.com,https://mcp.insiderscore.com/mcp,oauth
insource.co.jp,https://mcp.insource.co.jp/mcp,oauth
inspectionsupport.com,https://mcp.inspectionsupport.com/mcp,oauth
instantdb.com,https://mcp.instantdb.com/mcp,oauth
instantly.ai,https://mcp.instantly.ai/mcp,oauth
intacct.com,https://mcp.intacct.com/mcp,oauth
intercom.com,https://mcp.intercom.com/mcp,oauth
invertironline.com,https://mcp.invertironline.com/mcp,oauth
investnext.com,https://mcp.investnext.com/mcp,oauth
ipos.vn,https://mcp.ipos.vn/mcp,oauth
iproxy.online,https://mcp.iproxy.online/mcp,oauth
itcons.app,https://mcp.itcons.app/mcp,oauth
jam.dev,https://mcp.jam.dev/mcp,oauth
jambase.com,https://mcp.jambase.com/mcp,oauth
jin10.com,https://mcp.jin10.com/mcp,oauth
jinshuju.com,https://mcp.jinshuju.com/mcp,oauth
jinshuju.net,https://mcp.jinshuju.net/mcp,oauth
jiroo.de,https://mcp.jiroo.de/mcp,oauth
joinotto.com,https://mcp.joinotto.com/mcp,oauth
joinswsh.com,https://mcp.joinswsh.com/mcp,oauth
jsj.top,https://mcp.jsj.top/mcp,oauth
juhe.cn,https://mcp.juhe.cn/mcp,oauth
jumpapp.com,https://mcp.jumpapp.com/mcp,oauth
justlife.com,https://mcp.justlife.com/mcp,oauth
kabinhotel.xyz,https://mcp.kabinhotel.xyz/mcp,oauth
kagi.com,https://mcp.kagi.com/mcp,oauth
kahoot.it,https://mcp.kahoot.it/mcp,oauth
kajabi.com,https://mcp.kajabi.com/mcp,oauth
kameleoon.com,https://mcp.kameleoon.com/mcp,oauth
karbonhq.com,https://mcp.karbonhq.com/mcp,oauth
katalon.io,https://mcp.katalon.io/mcp,oauth
kayzen.io,https://mcp.kayzen.io/mcp,oauth
keboola.com,https://mcp.keboola.com/mcp,oauth
keeping.com,https://mcp.keeping.com/mcp,oauth
kenshoo.com,https://mcp.kenshoo.com/mcp,oauth
kertos.io,https://mcp.kertos.io/mcp,oauth
kevel.com,https://mcp.kevel.com/mcp,oauth
